"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Jamie Oleksiak",2500,"Dal@StL 09:30PM ET",0.658,"Dal"
"RW","Ty Rattie",2500,"Dal@StL 09:30PM ET",1.389,"StL"
"RW","Dmitrij Jaskin",2500,"Dal@StL 09:30PM ET",1.138,"StL"
"RW","Brett Ritchie",2500,"Dal@StL 09:30PM ET",0.917,"Dal"
"D","Joel Edmundson",2500,"Dal@StL 09:30PM ET",1.241,"StL"
"D","Dylan DeMelo",2500,"SJ@Nsh 09:00PM ET",1.010,"SJ"
"C","Matthew Peca",2500,"TB@NYI 07:00PM ET",0.000,"TB"
"LW","J.T. Brown",2500,"TB@NYI 07:00PM ET",1.747,"TB"
"D","Matt Tennyson",2500,"SJ@Nsh 09:00PM ET",0.720,"SJ"
"C","Jeremy Welsh",2500,"Dal@StL 09:30PM ET",0.000,"StL"
"D","Slater Koekkoek",2500,"TB@NYI 07:00PM ET",0.955,"TB"
"D","Jordan Schmaltz",2500,"Dal@StL 09:30PM ET",0.000,"StL"
"RW","Pontus Aberg",2500,"SJ@Nsh 09:00PM ET",0,"Nsh"
"D","Dylan Blujus",2500,"TB@NYI 07:00PM ET",0.000,"TB"
"RW","Colton Sissons",2500,"SJ@Nsh 09:00PM ET",1.012,"Nsh"
"C","Chris Tierney",2500,"SJ@Nsh 09:00PM ET",1.408,"SJ"
"C","Devin Shore",2500,"Dal@StL 09:30PM ET",0.125,"Dal"
"D","Adam Pelech",2500,"TB@NYI 07:00PM ET",0.842,"NYI"
"C","Tanner Richard",2500,"TB@NYI 07:00PM ET",0.000,"TB"
"C","Cedric Paquette",2500,"TB@NYI 07:00PM ET",1.114,"TB"
"D","Petteri Lindbohm",2500,"Dal@StL 09:30PM ET",0.625,"StL"
"D","Luke Witkowski",2500,"TB@NYI 07:00PM ET",0.167,"TB"
"D","Ryan Pulock",2500,"TB@NYI 07:00PM ET",1.417,"NYI"
"D","Mirco Mueller",2500,"SJ@Nsh 09:00PM ET",0.367,"SJ"
"LW","Adam Erne",2500,"TB@NYI 07:00PM ET",0.000,"TB"
"LW","Joel Vermin",2500,"TB@NYI 07:00PM ET",0.350,"TB"
"LW","Barclay Goodrow",2500,"SJ@Nsh 09:00PM ET",0.833,"SJ"
"C","Ryan Carpenter",2500,"SJ@Nsh 09:00PM ET",0.000,"SJ"
"D","Anthony Deangelo",2500,"TB@NYI 07:00PM ET",0.000,"TB"
"RW","Nikolay Goldobin",2500,"SJ@Nsh 09:00PM ET",1.000,"SJ"
"C","Ivan Barbashev",2500,"Dal@StL 09:30PM ET",0.000,"StL"
"C","Brayden Point",2500,"TB@NYI 07:00PM ET",0.000,"TB"
