"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Jhonattan Vegas",6400,"Golf@Golf 07:00AM ET",62.808,"Golf"
"G","William McGirt",6400,"Golf@Golf 07:00AM ET",65.500,"Golf"
"G","Mark Hubbard",6400,"Golf@Golf 07:00AM ET",59.763,"Golf"
"G","Ollie Schniederjans",6400,"Golf@Golf 07:00AM ET",53.667,"Golf"
"G","Alex Cejka",6300,"Golf@Golf 07:00AM ET",60.536,"Golf"
"G","Mark Wilson",6300,"Golf@Golf 07:00AM ET",47.250,"Golf"
"G","Chad Campbell",6300,"Golf@Golf 07:00AM ET",51.441,"Golf"
"G","Lucas Glover",6300,"Golf@Golf 07:00AM ET",57.700,"Golf"
"G","Chris Stroud",6300,"Golf@Golf 07:00AM ET",47.375,"Golf"
"G","Retief Goosen",6200,"Golf@Golf 07:00AM ET",55.389,"Golf"
"G","Geoff Ogilvy",6200,"Golf@Golf 07:00AM ET",37.154,"Golf"
"G","Johnson Wagner",6200,"Golf@Golf 07:00AM ET",52.923,"Golf"
"G","Colt Knost",6200,"Golf@Golf 07:00AM ET",60.607,"Golf"
"G","Jim Herman",6200,"Golf@Golf 07:00AM ET",58.656,"Golf"
"G","Sean O'Hair",6100,"Golf@Golf 07:00AM ET",55.462,"Golf"
"G","George McNeill",6100,"Golf@Golf 07:00AM ET",37.875,"Golf"
"G","Steve Wheatcroft",6100,"Golf@Golf 07:00AM ET",46.900,"Golf"
"G","Matt Jones",6100,"Golf@Golf 07:00AM ET",50.077,"Golf"
"G","David Hearn",6100,"Golf@Golf 07:00AM ET",53.412,"Golf"
"G","Peter Malnati",6100,"Golf@Golf 07:00AM ET",49.056,"Golf"
"G","Derek Ernst",6100,"Golf@Golf 07:00AM ET",41.591,"Golf"
"G","Ernie Els",6000,"Golf@Golf 07:00AM ET",48.333,"Golf"
"G","Will MacKenzie",6000,"Golf@Golf 07:00AM ET",48.094,"Golf"
"G","Nick Taylor",6000,"Golf@Golf 07:00AM ET",58.813,"Golf"
"G","Camilo Villegas",6000,"Golf@Golf 07:00AM ET",47.733,"Golf"
"G","Bronson Burgoon",6000,"Golf@Golf 07:00AM ET",51.719,"Golf"
"G","Bobby Wyatt",6000,"Golf@Golf 07:00AM ET",71.500,"Golf"
"G","Ben Crane",5900,"Golf@Golf 07:00AM ET",47.625,"Golf"
"G","Brendon de Jonge",5900,"Golf@Golf 07:00AM ET",44.083,"Golf"
"G","Brett Stegmaier",5900,"Golf@Golf 07:00AM ET",47.889,"Golf"
"G","Sung Kang",5900,"Golf@Golf 07:00AM ET",54.867,"Golf"
"G","Roberto Castro",5900,"Golf@Golf 07:00AM ET",59.267,"Golf"
"G","Henrik Norlander",5900,"Golf@Golf 07:00AM ET",48.833,"Golf"
"G","Carlos Ortiz",5900,"Golf@Golf 07:00AM ET",41.406,"Golf"
