"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Daryl Janmaat",3500,"NEW@AVL 10:00AM ET",8.935,"NEW"
"D","Leandro Bacuna",3500,"NEW@AVL 10:00AM ET",6.897,"AVL"
"F","Emmanuel Emenike",3500,"SWA@WHU 10:00AM ET",2.045,"WHU"
"F","Saido Berahino",3500,"WBA@BOU 10:00AM ET",4.250,"WBA"
"M","Jordan Veretout",3500,"NEW@AVL 10:00AM ET",8.520,"AVL"
"F","Demarai Gray",3500,"EVE@LEI 12:30PM ET",2.400,"LEI"
"GK","Ben Foster",3400,"WBA@BOU 10:00AM ET",6.308,"WBA"
"D","Alan Hutton",3400,"NEW@AVL 10:00AM ET",7.685,"AVL"
"F","Bafetimbi Gomis",3400,"SWA@WHU 10:00AM ET",4.677,"SWA"
"F","Loic Remy",3400,"CHE@SUN 10:00AM ET",2.656,"CHE"
"D","Erik Pieters",3400,"STK@CRY 10:00AM ET",8.606,"STK"
"M","Jack Cork",3400,"SWA@WHU 10:00AM ET",5.758,"SWA"
"D","Danny Simpson",3400,"EVE@LEI 12:30PM ET",5.214,"LEI"
"F","Rudy Gestede",3400,"NEW@AVL 10:00AM ET",4.781,"AVL"
"D","Joel Ward",3400,"STK@CRY 10:00AM ET",7.357,"CRY"
"M","Daniel Drinkwater",3400,"EVE@LEI 12:30PM ET",6.676,"LEI"
"F","Mame Biram Diouf",3400,"STK@CRY 10:00AM ET",5.160,"STK"
"M","Idrissa Gueye",3400,"NEW@AVL 10:00AM ET",7.045,"AVL"
"D","Baba Rahman",3400,"CHE@SUN 10:00AM ET",6.625,"CHE"
"D","Phil Bardsley",3300,"STK@CRY 10:00AM ET",7.111,"STK"
"M","Henri Saivet",3300,"NEW@AVL 10:00AM ET",3.000,"NEW"
"D","Aly Cissokho",3300,"NEW@AVL 10:00AM ET",7.382,"AVL"
"M","Victor Moses",3300,"SWA@WHU 10:00AM ET",5.605,"WHU"
"D","Jan Kirchhoff",3300,"CHE@SUN 10:00AM ET",6.269,"SUN"
"M","Jeffrey Schlupp",3300,"EVE@LEI 12:30PM ET",6.591,"LEI"
"M","Carles Gil",3300,"NEW@AVL 10:00AM ET",7.152,"AVL"
"F","Dwight Gayle",3300,"STK@CRY 10:00AM ET",4.286,"CRY"
"GK","Jakob Haugaard",3300,"STK@CRY 10:00AM ET",0.000,"STK"
"F","Duncan Watmore",3300,"CHE@SUN 10:00AM ET",4.375,"SUN"
"GK","Shay Given",3200,"STK@CRY 10:00AM ET",-3.500,"STK"
"F","Glenn Murray",3200,"WBA@BOU 10:00AM ET",3.738,"BOU"
"F","Jeremain Lens",3200,"CHE@SUN 10:00AM ET",9.237,"SUN"
"M","Siem de Jong",3200,"NEW@AVL 10:00AM ET",2.265,"NEW"
"M","James McCarthy",3200,"EVE@LEI 12:30PM ET",5.212,"EVE"
"F","Seydou Doumbia",3200,"NEW@AVL 10:00AM ET",5.389,"NEW"
"M"," Sandro",3200,"WBA@BOU 10:00AM ET",2.000,"WBA"
"D","Paul Dummett",3200,"NEW@AVL 10:00AM ET",5.833,"NEW"
"M","Ruben Loftus-Cheek",3200,"CHE@SUN 10:00AM ET",4.458,"CHE"
"F","Adama Traore",3200,"NEW@AVL 10:00AM ET",3.800,"AVL"
"GK","Mark Bunn",3100,"NEW@AVL 10:00AM ET",4.688,"AVL"
"F","Rickie Lambert",3100,"WBA@BOU 10:00AM ET",2.105,"WBA"
"M","Chris Brunt",3100,"WBA@BOU 10:00AM ET",7.886,"WBA"
"F","Gabriel Agbonlahor",3100,"NEW@AVL 10:00AM ET",3.967,"AVL"
"F","Victor Anichebe",3100,"WBA@BOU 10:00AM ET",2.700,"WBA"
"GK","Lukasz Fabianski",3100,"SWA@WHU 10:00AM ET",6.403,"SWA"
"M","Sylvain Marveaux",3100,"NEW@AVL 10:00AM ET",0,"NEW"
"M","Leroy Fer",3100,"SWA@WHU 10:00AM ET",4.833,"SWA"
"F","Emmanuel Riviere",3100,"NEW@AVL 10:00AM ET",2.000,"NEW"
"D","Adam Smith",3100,"WBA@BOU 10:00AM ET",7.210,"BOU"
"F","Kyle Edwards",3100,"WBA@BOU 10:00AM ET",0,"WBA"
"F","Joe Ward",3100,"WBA@BOU 10:00AM ET",0,"WBA"
"F","Matt Butcher",3100,"WBA@BOU 10:00AM ET",0,"BOU"
"M","Glenn Whelan",3000,"STK@CRY 10:00AM ET",3.600,"STK"
"D","Robert Huth",3000,"EVE@LEI 12:30PM ET",4.843,"LEI"
"M","Andy King",3000,"EVE@LEI 12:30PM ET",2.848,"LEI"
"F","Marouane Chamakh",3000,"STK@CRY 10:00AM ET",1.200,"CRY"
"M","James Morrison",3000,"WBA@BOU 10:00AM ET",7.833,"WBA"
"F","Peter Odemwingie",3000,"STK@CRY 10:00AM ET",2.500,"STK"
"M","Cheick Tiote",3000,"NEW@AVL 10:00AM ET",2.500,"NEW"
"F","Fraizer Campbell",3000,"STK@CRY 10:00AM ET",0.727,"CRY"
"F","Marvin Emnes",3000,"SWA@WHU 10:00AM ET",1.250,"SWA"
"M","Dan Gosling",3000,"WBA@BOU 10:00AM ET",5.682,"BOU"
"D","Angel Rangel",3000,"SWA@WHU 10:00AM ET",6.286,"SWA"
"F"," Falcao",3000,"CHE@SUN 10:00AM ET",3.000,"CHE"
"F","Libor Kozak",3000,"NEW@AVL 10:00AM ET",2.875,"AVL"
"M","Nemanja Matic",3000,"CHE@SUN 10:00AM ET",5.043,"CHE"
"F","Nikica Jelavic",3000,"SWA@WHU 10:00AM ET",3.231,"WHU"
"F","Jayden Stockley",3000,"WBA@BOU 10:00AM ET",0,"BOU"
"F","Mikael Mandron",3000,"CHE@SUN 10:00AM ET",0,"SUN"
"F","Tokelo Rantie",3000,"WBA@BOU 10:00AM ET",0.833,"BOU"
"F","Ivan Toney",3000,"NEW@AVL 10:00AM ET",0.000,"NEW"
"F","Jacob Blyth",3000,"EVE@LEI 12:30PM ET",0,"LEI"
"F","Lynden Gooch",3000,"CHE@SUN 10:00AM ET",0,"SUN"
"F","Leandro Rodriguez",3000,"EVE@LEI 12:30PM ET",0,"EVE"
"F","Jerell Sellars",3000,"NEW@AVL 10:00AM ET",0,"AVL"
"F","Djair Parfitt-Williams",3000,"SWA@WHU 10:00AM ET",0,"WHU"
"F","Joe Dodoo",3000,"EVE@LEI 12:30PM ET",0.000,"LEI"
"F","Daniel Barlaser",3000,"NEW@AVL 10:00AM ET",0,"NEW"
"F","Corey Taylor",3000,"NEW@AVL 10:00AM ET",0,"AVL"
"F","Jordan Green",3000,"WBA@BOU 10:00AM ET",0,"BOU"
"F","Sam Surridge",3000,"WBA@BOU 10:00AM ET",0,"BOU"
"GK","Mark Schwarzer",2900,"EVE@LEI 12:30PM ET",0,"LEI"
"GK","Marco Amelia",2900,"CHE@SUN 10:00AM ET",0,"CHE"
"GK","Boaz Myhill",2900,"WBA@BOU 10:00AM ET",6.087,"WBA"
"M","Darren Fletcher",2900,"WBA@BOU 10:00AM ET",4.764,"WBA"
"GK","Adam Federici",2900,"WBA@BOU 10:00AM ET",-0.400,"BOU"
"GK","Robert Elliot",2900,"NEW@AVL 10:00AM ET",4.571,"NEW"
"M","Charlie Adam",2900,"STK@CRY 10:00AM ET",3.975,"STK"
"GK","Darren Randolph",2900,"SWA@WHU 10:00AM ET",9.333,"WHU"
"D","Neil Taylor",2900,"SWA@WHU 10:00AM ET",5.279,"SWA"
"GK","Alex McCarthy",2900,"STK@CRY 10:00AM ET",8.714,"CRY"
"GK","Kristoffer Nordfeldt",2900,"SWA@WHU 10:00AM ET",0,"SWA"
"GK","Jordan Pickford",2900,"CHE@SUN 10:00AM ET",6.000,"SUN"
"GK","Daniel Bachmann",2900,"STK@CRY 10:00AM ET",0,"STK"
"M","Rolando Aarons",2900,"NEW@AVL 10:00AM ET",3.000,"NEW"
"M","Leon Britton",2800,"SWA@WHU 10:00AM ET",2.783,"SWA"
"M","Andrew Surman",2800,"WBA@BOU 10:00AM ET",3.542,"BOU"
"M","Scott Sinclair",2800,"NEW@AVL 10:00AM ET",3.880,"AVL"
"M","Gabriel Obertan",2800,"NEW@AVL 10:00AM ET",5.600,"NEW"
"D","Winston Reid",2800,"SWA@WHU 10:00AM ET",5.619,"WHU"
"M","Claudio Yacob",2800,"WBA@BOU 10:00AM ET",4.484,"WBA"
"D","Steve Cook",2800,"WBA@BOU 10:00AM ET",4.279,"BOU"
"M","Giannelli Imbula",2800,"STK@CRY 10:00AM ET",4.088,"STK"
"M","Sebastian Larsson",2700,"CHE@SUN 10:00AM ET",2.933,"SUN"
"D","Scott Dann",2700,"STK@CRY 10:00AM ET",5.118,"CRY"
"M","Stephen Ireland",2700,"STK@CRY 10:00AM ET",1.792,"STK"
"M","Alexandre Song",2700,"SWA@WHU 10:00AM ET",3.875,"WHU"
"D","Jonny Evans",2700,"WBA@BOU 10:00AM ET",5.625,"WBA"
"M","Mile Jedinak",2700,"STK@CRY 10:00AM ET",2.596,"CRY"
"M","Gael Bigirimana",2700,"NEW@AVL 10:00AM ET",0,"NEW"
"M","Muhamed Besic",2700,"EVE@LEI 12:30PM ET",2.875,"EVE"
"M","Bertrand Traore",2700,"CHE@SUN 10:00AM ET",5.889,"CHE"
"M","Daniel Amartey",2700,"EVE@LEI 12:30PM ET",0.800,"LEI"
"M","Jonathan Leko",2700,"WBA@BOU 10:00AM ET",1.500,"WBA"
"M","Gareth Barry",2600,"EVE@LEI 12:30PM ET",4.210,"EVE"
"D","Ashley Williams",2600,"SWA@WHU 10:00AM ET",4.764,"SWA"
"M","Lee Cattermole",2600,"CHE@SUN 10:00AM ET",2.638,"SUN"
"M","John Obi Mikel",2600,"CHE@SUN 10:00AM ET",2.222,"CHE"
"M","Gokhan Inler",2600,"EVE@LEI 12:30PM ET",3.900,"LEI"
"M","Carlos Sanchez",2600,"NEW@AVL 10:00AM ET",3.583,"AVL"
