STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
SD,1200578,R_13,737635,R_13,844877,R_13,111,R_13,35,R_13,6,R_13,48.16,R_13,186.74,R_13,173.04,R_13,359.78,R_13,22773196,R_13,0,R_13,435500,R_13,831896,R_13,24040592,R_13,12257006,IF13,3758811,R_13,16015817,IF13,1900480,R_13,723329,IF13,517752,R_13,3141561,IF13,4218053,R_13,23375431,IF13,4585757,R_13,1482,R_13,44294,R_13,494371,R_13,5125904,R_13,4661606,R_13,2847529,R_13,747180,R_13,115291,R_13,182492,R_13,167539,R_13,1368,R_13,1771,R_13,4440,R_13,6211,R_13,4674,R_13,259808,R_13,4015874,R_13,427046,IF13,401783,R_13,6983508,R_13,1978002,R_13,471328,IF13,20073,IF13,27274,IF13,11174,IF13,8586,IF13,1015,R_13,265294,IF13,226843,IF13,13563,R_13,992,R_13,1347827,R_13,01/2013,R_13,12/2013,R_13,46,2014,04
TN,6293455,R_13,6293454,R_13,6293455,R_13,186,R_13,100,R_13,3,R_13,266.77,R_13,568.97,R_13,1205.72,R_13,1774.69,R_13,102303595,R_13,342647,R_13,217589,R_13,7015174,R_13,109879005,R_13,54334898,R_13,17402703,R_13,71737601,R_13,9610108,R_13,2132940,R_13,1709585,R_13,13452633,R_13,19676147,R_13,104866381,R_13,2402651,IF13,102453,IF13,125000,IF13,459062,IF13,3089166,IF13,3856144,IF13,11640332,R_13,94594,R_13,592891,R_13,51493,IF13,697860,R_13,1000,R_13,471,R_13,12834,R_13,13305,R_13,12118,R_13,622426,R_13,20063205,IF13,3548815,IF13,3269396,R_13,25598411,IF13,8544149,IF13,-1,IA13,103703,IF13,111773,IF13,44428,R_13,27172,R_13,5569,R_13,1185116,R_13,890573,R_13,91190,R_13,5018,R_13,5214908,IF13,07/2012,R_13,06/2013,R_13,47,2014,05
TX,23948522,R_13,23948522,R_13,26059203,R_13,553,R_13,315,R_13,9,R_13,1649.00,R_13,2433.70,R_13,4278.94,R_13,6712.64,R_13,447017965,R_13,93261,R_13,2955815,R_13,17653403,R_13,467720444,R_13,229197588,R_13,84253619,R_13,313451207,R_13,36924160,R_13,11388253,R_13,10377826,R_13,58690239,R_13,79853302,R_13,451994748,R_13,24524444,R_13,4950000,R_13,1466911,R_13,4647537,R_13,35588892,R_13,42352626,R_13,40096556,R_13,1917165,R_13,1992166,R_13,606578,R_13,2627709,R_13,20154,R_13,2446,R_13,26575,R_13,29021,R_13,52171,R_13,1884090,R_13,73617788,IF13,14922272,IF13,12986426,IF13,119511698,R_13,50547680,IF13,4658195,IF13,688412,R_13,675404,R_13,221773,R_13,118526,R_13,20561,R_13,5272145,R_13,3838485,R_13,331281,R_13,19251,R_13,17953429,IF13,02/2012,R_13,12/2013,R_13,48,2014,06
UT,2825267,R_13,2825267,R_13,2855287,R_13,59,R_13,65,R_13,16,R_13,204.45,IF13,347.20,IF13,907.67,IF13,1254.87,IF13,94004330,IF13,1091722,IF13,599437,IF13,3706780,IF13,99402269,IF13,42363478,IF13,18686754,IF13,61050232,IF13,8954624,IF13,2814906,IF13,3265916,IF13,15035446,IF13,17800801,IF13,93886479,IF13,3675330,IF13,73344,IF13,583198,IF13,188587,IF13,4520459,IF13,4746103,IF13,6710732,IF13,424805,R_13,609612,IF13,669030,R_13,641659,IF13,10220,R_13,204,IF13,2952,R_13,3156,IF13,10855,IF13,308019,IF13,18500437,IF13,3265438,IF13,1779962,IF13,37365375,IF13,15957297,IF13,-1,IA13,18204,IF13,23699,IF13,30619,IF13,23296,IF13,2866,U_13,1053114,IF13,876908,IF13,45400,U_13,1991,IF13,3096178,IF13,07/2012,R_13,12/2013,R_13,49,2014,07
VA,8019392,R_13,8019392,R_13,8260405,R_13,81,R_13,278,R_13,23,R_13,872.81,R_13,968.34,R_13,2743.64,R_13,3711.98,R_13,245822080,R_13,14452035,R_13,1680865,R_13,11591163,R_13,273546143,R_13,138294167,R_13,47135487,R_13,185429654,R_13,17729774,R_13,5783051,R_13,4799364,R_13,28312189,R_13,53551501,R_13,267293344,R_13,22618348,R_13,0,R_13,0,R_13,629013,R_13,23247361,R_13,26401432,R_13,18059238,R_13,1307040,R_13,1187116,R_13,252360,IF13,1186866,IF13,442,IF13,827,R_13,364,R_13,1191,R_13,22235,R_13,897284,R_13,38403502,R_13,6946696,IF13,4632627,R_13,75802706,R_13,24950842,IF13,2442944,IF13,155410,R_13,175318,R_13,95696,R_13,55756,R_13,6560,R_13,2164521,R_13,1507804,R_13,116613,R_13,6674,R_13,7622270,R_13,07/2012,R_13,06/2013,R_13,51,2014,05
VI,106405,R_13,106405,R_13,106405,R_13,0,R_13,5,R_13,1,R_13,-1.00,U_13,-1.00,U_13,-1.00,U_13,-1.00,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,-1,U_13,10/2012,R_13,09/2013,R_13,78,2014,09
VT,686726,R_13,606474,R_13,624958,R_13,181,R_13,3,R_13,4,R_13,66.29,IF13,218.66,IF13,132.98,IF13,351.64,IF13,17011994,IF13,0,R_13,36314,R_13,3940454,IF13,20988762,IF13,12128584,IF13,2872643,IF13,15001227,IF13,1787484,IF13,232992,IF13,389045,IF13,2409521,IF13,5081138,IF13,22491886,IF13,2462307,IF13,17400,IF13,0,IF13,2762780,IF13,5242487,IF13,3881203,IF13,2980733,IF13,57468,IF13,133618,IF13,107356,IF13,192403,IF13,1193,IF13,241,R_13,2952,R_13,3193,R_13,6201,IF13,265672,IF13,3816219,IF13,558006,IF13,339898,IF13,4633998,IF13,1706508,IF13,-1,IA13,34069,IF13,45450,IF13,22346,IF13,14725,IF13,1148,U_13,355954,IF13,252451,IF13,12105,U_13,1095,IF13,873488,IF13,01/2012,R_13,12/2013,R_13,50,2014,01
WA,6761961,R_13,6761961,R_13,6882400,R_13,51,R_13,289,R_13,27,R_13,750.97,R_13,797.42,R_13,2899.60,R_13,3697.02,R_13,367965506,R_13,169299,R_13,509748,R_13,12142260,R_13,380786813,R_13,182626847,R_13,65229333,R_13,247856180,R_13,26013022,IF13,14134193,IF13,8153501,IF13,48300716,R_13,64868977,R_13,361025873,R_13,5119028,R_13,0,R_13,0,R_13,1337996,R_13,6457024,R_13,28375264,R_13,14271346,R_13,1411527,R_13,1400048,R_13,643260,R_13,1506176,IF13,26947,IF13,966,R_13,600,R_13,1566,R_13,41794,R_13,758074,R_13,41881580,IF13,5252097,IF13,4153405,R_13,83998212,R_13,28266843,IF13,5980270,IF13,520752,IF13,362154,IF13,78001,IF13,51039,IF13,6423,U_13,2183614,IF13,1649181,IF13,143707,U_13,6106,R_13,11038464,IF13,01/2013,R_13,12/2013,R_13,53,2014,08
WI,5712889,R_13,5712889,R_13,5717110,R_13,378,R_13,82,R_13,6,R_13,664.04,R_13,1121.14,R_13,1918.91,R_13,3040.05,R_13,207850760,R_13,4336021,R_13,1013952,R_13,12301560,R_13,225502293,R_13,111623800,R_13,38826491,R_13,150450291,R_13,16497550,IF13,2095529,IF13,5937479,IF13,24530558,R_13,44791759,R_13,219772608,R_13,10216273,R_13,13074,R_13,886047,R_13,6048645,R_13,17164039,R_13,26662689,R_13,18997488,R_13,25776443,R_13,1443061,R_13,8105641,R_13,1872001,R_13,120824,R_13,2646,R_13,16807,R_13,19453,R_13,41116,R_13,1070771,R_13,34663310,IF13,4486740,IF13,3464759,IF13,63034912,R_13,22618852,R_13,2205793,IF13,9203960,R_13,9141954,R_13,89758,IF13,58579,IF13,6475,U_13,2166210,IF13,1652396,IF13,101954,U_13,6289,R_13,6545969,IF13,01/2013,R_13,12/2013,R_13,55,2014,03
WV,1852994,R_13,1852994,R_13,1852994,R_13,97,R_13,78,R_13,7,R_13,95.32,R_13,359.00,R_13,282.62,R_13,641.62,R_13,25447667,R_13,9792294,R_13,392030,R_13,3046315,R_13,38678306,R_13,16957213,R_13,5696864,R_13,22654077,R_13,3391431,R_13,884996,R_13,761695,R_13,5038122,R_13,7084175,R_13,34776374,R_13,261863,R_13,763875,R_13,392030,R_13,531068,R_13,1948836,R_13,3240710,R_13,5080525,R_13,2974057,R_13,206421,R_13,350609,R_13,285665,R_13,16181,R_13,308,R_13,1455,R_13,1763,R_13,6543,R_13,381126,R_13,5589090,R_13,605215,IF13,914128,R_13,6395350,R_13,2085021,IF13,363224,IF13,117203,IF13,119528,IF13,23081,R_13,15304,R_13,2190,R_13,407286,R_13,310898,R_13,28588,R_13,1474,R_13,1181993,R_13,07/2012,R_13,06/2013,R_13,54,2014,05
WY,576412,R_13,576412,R_13,576412,R_13,23,R_13,53,R_13,2,R_13,59.18,R_13,180.07,R_13,285.42,R_13,465.49,R_13,29367327,R_13,2100,R_13,7639,R_13,1428424,R_13,30805490,R_13,17316455,R_13,6204437,R_13,23520892,R_13,1858766,R_13,229978,R_13,633811,R_13,2722555,R_13,4888561,R_13,31132008,R_13,4428757,R_13,0,R_13,0,R_13,0,R_13,4428757,R_13,2051388,R_13,2459456,R_13,126522,R_13,164263,R_13,113322,R_13,173994,R_13,0,R_13,71,R_13,1863,R_13,1934,R_13,4499,R_13,137810,R_13,3633418,R_13,502729,R_13,382276,R_13,4983367,R_13,1760715,R_13,99678,R_13,38361,R_13,34289,R_13,15417,R_13,11170,R_13,1893,R_13,378202,R_13,296475,R_13,35166,R_13,862,R_13,907771,R_13,07/2012,R_13,06/2013,R_13,56,2014,07
