STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
NJ,9414939,R_13,8708750,R_13,8791894,R_13,296,R_13,145,R_13,12,R_13,1378.89,IF13,1412.76,IF13,3435.31,IF13,4848.07,IF13,448175147,IF13,3768234,IF13,537577,IF13,20300445,IF13,472781403,IF13,231272242,IF13,93938696,IF13,325210938,IF13,28507193,IF13,5753212,IF13,8229489,IF13,42489894,IF13,83464445,IF13,451165277,IF13,16511364,IF13,21582,IF13,3664,IF13,854382,IF13,17390992,IF13,14852849,IF13,28590655,IF13,2189226,IF13,2371335,IF13,1115009,IF13,2034351,IF13,154578,IF13,4250,R_13,8288,R_13,12538,R_13,48556,IF13,1183634,IF13,46701193,IF13,7725406,IF13,4490318,IF13,58993639,IF13,23491604,IF13,2086994,IF13,2462841,IF13,2448749,IF13,174606,IF13,93578,IF13,14875,R_13,3186380,IF13,1895174,IF13,182247,R_13,7875,IF13,10363620,IF13,01/2013,R_13,12/2013,R_13,34,2014,02
NM,1646422,R_13,1646422,R_13,2085287,R_13,92,R_13,26,R_13,1,R_13,124.10,R_13,278.09,R_13,372.26,R_13,650.35,R_13,41566150,R_13,1620894,R_13,423419,R_13,2027620,R_13,45638083,R_13,20744637,R_13,7967681,R_13,28712318,R_13,4114772,R_13,1325924,R_13,1178789,R_13,6619485,R_13,8789448,R_13,44121251,R_13,5866720,R_13,608298,R_13,107176,R_13,964218,R_13,7546412,R_13,6210128,R_13,4311902,R_13,88270,R_13,207223,R_13,55924,R_13,295688,R_13,1152,R_13,351,R_13,4140,R_13,4491,R_13,6471,R_13,252265,R_13,7305862,R_13,1196484,IF13,951378,R_13,9201597,R_13,3194613,R_13,383026,IF13,16303,R_13,19301,R_13,19283,R_13,11604,R_13,2269,R_13,415612,R_13,304941,R_13,28937,U_13,1543,R_13,2132482,R_13,07/2012,R_13,06/2013,R_13,35,2014,06
NV,2745164,R_13,2745164,R_13,2745164,R_13,18,R_13,69,R_13,3,R_13,167.98,R_13,208.56,R_13,568.15,R_13,776.71,R_13,64441807,R_13,20689322,R_13,1139303,R_13,3745380,R_13,90015812,R_13,39073547,R_13,14396166,R_13,53469713,R_13,6119934,R_13,1777221,R_13,2276704,R_13,10173859,R_13,13905064,R_13,77548636,R_13,17050,R_13,0,R_13,84465,R_13,46153,R_13,147668,R_13,977676,R_13,4127780,R_13,135641,R_13,389281,R_13,59040,R_13,524425,R_13,5959,R_13,175,R_13,756,R_13,931,R_13,6327,R_13,164037,R_13,10817924,IF13,1704718,R_13,1323599,R_13,20953287,R_13,7122987,R_13,830046,R_13,194996,R_13,132542,R_13,24521,R_13,14220,R_13,1055,U_13,769285,R_13,478960,R_13,19104,U_13,1383,R_13,2341853,R_13,07/2012,R_13,06/2013,R_13,32,2014,08
NY,19504490,R_13,19378102,R_13,19378102,R_13,755,R_13,306,R_13,6,R_13,3243.70,R_13,4093.91,R_13,7633.67,R_13,11727.58,R_13,1037531842,R_13,44776347,R_13,7987482,R_13,125459609,R_13,1215755280,R_13,581343206,R_13,256936645,R_13,838279851,R_13,59564263,R_13,19119792,R_13,16528247,R_13,95212302,R_13,221885720,R_13,1155377873,R_13,18490556,R_13,7988353,R_13,203963,R_13,50462586,R_13,77145458,R_13,95851878,R_13,70954927,R_13,9467822,R_13,3408948,R_13,2600221,IF13,4894025,R_13,225652,IF13,12184,R_13,8316,R_13,20500,R_13,150656,IF13,2369944,R_13,111167172,R_13,28194558,R_13,10477671,R_13,153715101,IF13,48593825,R_13,9337170,IF13,7586497,R_13,7582627,R_13,457451,R_13,200659,IF13,50804,U_13,8226149,R_13,4346287,IF13,658222,U_13,18615,R_13,22903988,IF13,03/2012,R_13,12/2013,R_13,36,2014,02
OH,11529465,R_13,11529465,R_13,11529465,R_13,238,R_13,472,R_13,55,R_13,1948.72,IF13,2850.56,R_13,6015.02,R_13,8865.58,R_13,328276452,IF13,351301422,R_13,479252,IF13,78586461,R_13,758643587,IF13,331294486,R_13,105157957,IF13,436452443,IF13,46638430,R_13,18455233,R_13,32863507,IF13,97957170,IF13,140271628,R_13,674681241,IF13,9000,IF13,99467,IF13,0,IF13,194234443,IF13,194342910,IF13,84446245,IF13,43542589,R_13,30201183,IF13,3705196,IF13,7429722,IF13,4919687,IF13,480737,IF13,4142,IF13,22591,IF13,26733,IF13,131041,R_13,1871538,R_13,86418753,IF13,21666226,IF13,8968809,R_13,185348458,R_13,53251632,IF13,10110357,IF13,11734314,IF13,11441456,IF13,271788,IF13,172279,IF13,23736,U_13,6012299,R_13,4465641,R_13,418862,R_13,12454,R_13,21344949,IF13,01/2013,R_13,12/2013,R_13,39,2014,03
OK,3126163,R_13,3126163,R_13,3850568,R_13,117,R_13,94,R_13,2,R_13,289.89,R_13,665.72,R_13,747.79,R_13,1413.51,R_13,102603348,R_13,2334825,R_13,465174,R_13,4894639,R_13,110297986,R_13,53036948,R_13,17221781,R_13,70258729,R_13,9165003,R_13,2604163,R_13,3116489,R_13,14885655,R_13,22981093,R_13,108125477,R_13,9016630,R_13,11554,R_13,35488,R_13,2576232,R_13,11639904,R_13,10520955,R_13,7270854,R_13,999774,R_13,449405,R_13,250840,R_13,412936,R_13,1667,R_13,505,R_13,4095,R_13,4600,R_13,8925,R_13,496322,R_13,14177885,IF13,2908408,R_13,1994251,R_13,22873242,R_13,7956783,R_13,-1,IA13,39267,R_13,41632,R_13,39897,R_13,21533,R_13,3977,R_13,1165974,IF13,790308,IF13,66258,R_13,3060,R_13,3881312,R_13,07/2012,R_13,06/2013,R_13,40,2014,06
OR,3722398,R_13,3722398,R_13,3883735,R_13,127,R_13,93,R_13,8,R_13,390.78,R_13,481.38,R_13,1255.85,R_13,1737.23,R_13,171228180,R_13,1196387,R_13,978416,R_13,10772662,R_13,184175645,R_13,79303411,R_13,40797793,R_13,120101204,R_13,10610863,R_13,3299873,R_13,3591561,R_13,17502297,R_13,41873643,R_13,179477144,R_13,7033648,R_13,1000,R_13,23184,R_13,1793378,R_13,8851210,R_13,10766352,R_13,9957503,R_13,3215673,R_13,752018,R_13,2275439,R_13,883793,R_13,145705,R_13,1152,R_13,3120,R_13,4272,R_13,18008,R_13,419802,R_13,22356999,IF13,2478088,IF13,1996319,IF13,60596841,IF13,22401630,IF13,1479472,IF13,5147775,R_13,4953258,R_13,63220,R_13,43847,R_13,5574,U_13,1445195,R_13,1176326,R_13,72732,U_13,3118,R_13,4022036,IF13,07/2012,R_13,06/2013,R_13,41,2014,08
PA,12407724,R_13,12407724,R_13,12702379,R_13,451,R_13,175,R_13,24,R_13,1198.32,IF13,1756.51,IF13,3008.12,IF13,4764.63,IF13,215475111,IF13,56286099,IF13,1531044,IF13,58475205,IF13,331767459,IF13,156688942,IF13,54491497,IF13,211180439,IF13,22433059,IF13,6347376,IF13,5906196,IF13,34686631,IF13,76820010,IF13,322687080,IF13,3395332,IF13,3425025,IF13,6200,IF13,5382544,IF13,12209101,IF13,19193298,IF13,26391949,IF13,4173402,IF13,2232597,IF13,1089931,IF13,1800319,IF13,80617,IF13,3849,IF13,6841,R_13,10690,IF13,47729,IF13,1448444,IF13,46093666,IF13,7958738,IF13,5242024,IF13,68285979,IF13,25196046,IF13,-1,IA13,4289692,IF13,4368076,IF13,201053,IF13,122867,IF13,19015,R_13,4230723,IF13,3030797,IF13,265085,U_13,8031,IF13,9778553,IF13,07/2012,R_13,12/2013,R_13,42,2014,02
PR,3990993,R_13,2922066,R_13,3725789,R_13,58,R_13,76,R_13,1,R_13,13.00,U_13,58.00,U_13,226.00,U_13,281.00,U_13,3448905,U_13,120555,U_13,98579,U_13,142011,U_13,2256752,U_13,2832601,U_13,575637,U_13,3323945,U_13,56351,U_13,20634,U_13,7200,U_13,45185,U_13,1093455,U_13,2609501,U_13,1231213,U_13,94059,U_13,170813,U_13,30889,U_13,1190941,U_13,1168558,U_13,258647,U_13,30696,U_13,2442,U_13,0,U_13,4334,U_13,12,U_13,190,U_13,1,U_13,191,U_13,72,U_13,169395,U_13,525628,U_13,105793,U_13,54614,U_13,89398,U_13,25766,U_13,19898,U_13,52,U_13,46,U_13,1207,U_13,392,U_13,225,U_13,31549,U_13,14994,U_13,7569,U_13,954,U_13,157912,U_13,01/2013,R_13,12/2013,R_13,72,2014,09
RI,1431901,R_13,1051511,R_13,1051511,R_13,47,R_13,23,R_13,2,R_13,203.38,R_13,234.68,R_13,344.94,R_13,579.62,R_13,31698066,R_13,7705547,R_13,183790,R_13,6190761,R_13,45778164,R_13,24796554,R_13,8464517,R_13,33261071,R_13,2573583,R_13,518864,R_13,674977,R_13,3767424,R_13,7813413,R_13,44841908,R_13,563950,R_13,967925,R_13,38135,R_13,2179568,R_13,3749578,R_13,6323590,R_13,4364340,R_13,1036315,R_13,150705,R_13,409571,R_13,231047,R_13,5189,R_13,809,R_13,1632,R_13,2441,R_13,5662,R_13,158747,R_13,6120355,R_13,726228,IF13,482176,R_13,7195883,R_13,2430752,R_13,-1,IA13,1139341,R_13,1133407,R_13,23541,R_13,12372,R_13,1865,R_13,378434,R_13,196439,R_13,19628,R_13,1449,R_13,1468742,R_13,07/2012,R_13,06/2013,R_13,44,2014,01
SC,4652360,R_13,4652360,R_13,4652360,R_13,40,R_13,153,R_13,29,R_13,468.95,R_13,593.54,R_13,1277.36,R_13,1870.90,R_13,114030474,R_13,6111092,R_13,330500,R_13,4649992,R_13,125122058,R_13,60532377,R_13,21647253,R_13,82179630,R_13,9814252,R_13,2428968,R_13,3865847,R_13,16109067,R_13,21609244,R_13,119897941,R_13,7487399,R_13,0,R_13,500000,R_13,103421,R_13,8090820,R_13,6710385,R_13,9205537,R_13,291232,R_13,434597,R_13,96511,R_13,673184,R_13,9670,R_13,434,R_13,1512,R_13,1946,R_13,14540,R_13,482271,IF13,18489563,R_13,3288650,IF13,2557911,R_13,26502478,R_13,9991078,R_13,1347804,IF13,107786,R_13,140707,R_13,39497,R_13,25641,R_13,4002,R_13,993746,R_13,736003,R_13,103329,R_13,4093,R_13,4921316,R_13,07/2012,R_13,06/2013,R_13,45,2014,05
