STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
FL,19813366,R_14,19464451,R_14,19839251,R_14,63,R_14,468,R_14,24,R_14,1669.69,IF14,1917.91,IF14,4074.37,IF14,5992.28,IF14,461436699,IF14,22913457,IF14,1181115,IF14,20302059,IF14,505833330,IF14,225861289,IF14,81550783,IF14,307412072,IF14,33012867,IF14,16421139,IF14,10771442,IF14,60205448,IF14,143395285,IF14,511012805,IF14,23899274,IF14,558107,IF14,0,IF14,378930,IF14,24836311,IF14,27841697,IF14,31602986,IF14,1797802,IF14,1947487,IF14,824733.434077903,IF14,3520618,IF14,140704,IF14,1844,IF14,4838,R_14,6682,IF14,43118,IF14,1244917,IF14,75553933,IF14,23686241,IF14,10615421,IF14,116693486,IF14,32665902,IF14,14456723,IF14,98964,IF14,125338,IF14,203578,IF14,96748,IF14,17006,R_14,4611959,IF14,2928059,IF14,314348,R_14,16781,IF14,19076151,IF14,3276803,IF14,10/2013,R_14,09/2014,R_14,12,2015,05
GA,10345555,R_14,10344907,R_14,10344907,R_14,63,R_14,332,R_14,13,R_14,598.08,R_14,598.08,R_14,2136.24,R_14,2734.32,R_14,159598459,R_14,27107821,R_14,477742,R_14,14087005,R_14,201271027,R_14,92301748,R_14,37636187,R_14,129937935,R_14,10619594,R_14,2887735,R_14,2051663,R_14,15558992,R_14,37486373,R_14,182983300,R_14,23784362,R_14,4709649,R_14,0,R_14,237562,R_14,28731573,R_14,28313315,R_14,16603157,R_14,335265,R_14,636670,R_14,259552.725412358,IF14,888316,R_14,1645.80944189602,IF14,254,R_14,10395,R_14,10649,R_14,16533,R_14,791940,R_14,29490195,R_14,8698842,IF14,4164735,R_14,39001826,R_14,17718473,R_14,959812,R_14,715298,R_14,707502,R_14,67489,R_14,40018,R_14,6326,R_14,1876992,R_14,1466586,R_14,113464,R_14,8604,R_14,13141148,R_14,3215671,R_14,07/2013,R_14,06/2014,R_14,13,2015,05
GU,159358,R_14,159358,R_14,159358,R_14,1,R_14,5,R_14,0,R_14,0,R_14,0,R_14,21,R_14,21,R_14,1107503,R_14,0,R_14,0,R_14,69961,R_14,1177464,R_14,585058,R_14,233936,R_14,818994,R_14,18583,R_14,39364,R_14,0,R_14,57947,R_14,50903,R_14,927844,R_14,0,R_14,0,R_14,120499,R_14,0,R_14,120499,R_14,0,R_14,263486,R_14,1335,R_14,985,R_14,84,R_14,191,R_14,0,R_14,2,R_14,0,R_14,2,R_14,76,R_14,6297,R_14,103593,R_14,35866,R_14,60625,R_14,39692,R_14,23489,R_14,0,R_14,12,R_14,0,R_14,1634,R_14,754,R_14,809,R_14,8028,R_14,6081,R_14,1770,R_14,547,R_14,39842,R_14,2369,R_14,10/2013,R_14,09/2014,R_14,66,2015,09
HI,1404054,R_14,1404054,R_14,1404054,R_14,1,R_14,49,R_14,2,R_14,171,R_14,172,R_14,375.5,R_14,547.5,R_14,0,R_14,29887434,R_14,1655900,R_14,2419833,R_14,33963167,R_14,22147533,R_14,229606,R_14,22377139,R_14,2118598,R_14,1167229,R_14,76731,R_14,3362558,R_14,7414411,R_14,33154108,R_14,0,R_14,18750000,R_14,0,R_14,0,R_14,18750000,R_14,8147957,R_14,3313134,R_14,22966,R_14,232174,R_14,9338,R_14,155949,R_14,0,R_14,0,R_14,94,R_14,94,R_14,2703,R_14,92285,R_14,4875365,R_14,673944,R_14,915100,R_14,6465428,R_14,2644008,R_14,301860,R_14,265,R_14,57,R_14,10005,R_14,6891,R_14,1926,R_14,275229,R_14,198898,R_14,46832,R_14,524,R_14,723305,R_14,177357,R_14,07/2013,R_14,06/2014,R_14,15,2015,08
IA,3096479,R_14,3051835,R_14,3092341,R_14,543,R_14,24,R_14,3,R_14,296.9,IF14,984.499999999999,IF14,771.429999999999,IF14,1755.93,IF14,107847482,IF14,2555833,IF14,857997,IF14,10510978,IF14,121772290,IF14,60411849,IF14,19347663,IF14,79759512,IF14,9635941,IF14,2493237,IF14,3221261,IF14,15350439,IF14,22662911,IF14,117772862,IF14,10874861,IF14,10536920,IF14,18521642,IF14,7605654,IF14,47539077,IF14,58636397,IF14,12000156,IF14,4667772,IF14,672180,IF14,2505618,IF14,940872,IF14,3772,IF14,1090,IF14,7346,IF14,8436,IF14,29548,IF14,1003536,IF14,18047771,IF14,1712143,IF14,2056436,IF14,27866711,IF14,9552741,IF14,1235784,IF14,350983,IF14,383006,IF14,75050,IF14,50700,IF14,6293,U_14,1620467,IF14,1281377,IF14,94146,U_14,4726,IF14,3422321,IF14,1786714,IF14,07/2013,R_14,06/2014,R_14,19,2015,04
ID,1364648,R_14,1355680,R_14,1634465,R_14,100,R_14,44,R_14,11,R_14,96.15,R_14,208.46,R_14,556.04,R_14,764.5,R_14,46162010,R_14,1360679,R_14,21931,R_14,4146131,R_14,51690751,R_14,23239633,R_14,7268027,R_14,30507660,R_14,4012661,R_14,1155658,R_14,672774,R_14,5841093,R_14,12517171,R_14,48865924,R_14,1582052,R_14,6861,R_14,81892,R_14,359334,R_14,2030139,R_14,3432730,R_14,4323706,R_14,242096,R_14,234524,IF14,65548,R_14,316865,IF14,533,R_14,195,R_14,5253,R_14,5448,R_14,6125,R_14,275749,IF14,8730670,R_14,1332927,IF14,846363,IF14,14336583,R_14,6555671,IF14,650254,IF14,149736,IF14,153159,IF14,30325,IF14,21377,IF14,2931,U_14,767031,R_14,631032,R_14,53030,U_14,1792,R_14,1878131,IF14,266527,IF14,10/2013,R_14,09/2014,R_14,16,2015,07
IL,11711641,R_14,11677289,R_14,12880580,R_14,625,R_14,157,R_14,19,R_14,2146.19,IF14,3154.25,IF14,5465.73,IF14,8619.98,IF14,714407174,IF14,44736498,IF14,3382151,IF14,39559647,IF14,802085470,IF14,370966438,IF14,94584774,IF14,465551212,IF14,48067899,IF14,19273379,IF14,14036924,IF14,81378202,IF14,163518559,IF14,710447973,IF14,40745694,IF14,25243857,IF14,31054,IF14,7371571,IF14,73392176,IF14,117370901,IF14,43503775,IF14,7157642,IF14,2688520,IF14,2264329.12514727,IF14,3494083,IF14,185390.862655036,IF14,7717,IF14,13750,R_14,21467,IF14,85144,IF14,1927485,IF14,72605776,IF14,10405493,IF14,5606184,IF14,114164794,IF14,45840309,IF14,4669188,IF14,5428275,IF14,5469695,IF14,194683,IF14,119282,IF14,16791,R_14,4693071,IF14,3293369,IF14,316295,U_14,15867,IF14,13885831,IF14,-1,IA14,10/2012,R_14,06/2014,R_14,17,2015,03
IN,6219453,R_14,6100143,R_14,6483802,R_14,236,R_14,191,R_14,25,R_14,940.63,IF14,1435.34,IF14,2942.43,IF14,4377.77,IF14,294462940,IF14,21600414,IF14,903429,IF14,16083730,IF14,333050513,IF14,144092072,IF14,47270015,IF14,191362087,IF14,24392433,IF14,10325158,IF14,8497580,IF14,43215171,IF14,75416413,IF14,309993671,IF14,29005601,IF14,1838563,IF14,413844,IF14,6321895,IF14,37579903,IF14,30388819,IF14,24369165,IF14,4227186,IF14,1584384,IF14,704925,IF14,2112776,IF14,41480,IF14,3264,R_14,14694,R_14,17958,R_14,46128,IF14,1094830,IF14,35441059,IF14,4559518,IF14,3716275,IF14,77209842,IF14,24002327,IF14,10708637,IF14,365020,IF14,368906,IF14,137956,IF14,81430,IF14,13356,U_14,2974236,IF14,1933209,IF14,195244,U_14,8759,IF14,7226264,IF14,6532952,IF14,01/2014,R_14,12/2014,R_14,18,2015,03
KS,2495794,R_14,2495794,R_14,2893957,R_14,327,R_14,49,R_14,5,R_14,279.23,IF14,700.26,IF14,1022.48,IF14,1722.74,IF14,104906554,IF14,4029830,IF14,244888,IF14,11872646,IF14,121053918,IF14,56756885,IF14,17035226,IF14,73792111,IF14,8828932,IF14,2947364,IF14,2623055,IF14,14399351,IF14,26913847,IF14,115105309,IF14,2327183,R_14,0,R_14,0,R_14,1800259,R_14,4127442,R_14,4202532,IF14,9300570,IF14,302365,IF14,480597,IF14,45385.3832988777,IF14,819423,IF14,18462.5880193688,IF14,396,IF14,17056,R_14,17452,IF14,14972,IF14,688140,IF14,13931862,IF14,1990621,IF14,1774222,IF14,25043430,IF14,9575369,IF14,869183,IF14,879144,IF14,883506,IF14,58951,IF14,35508,IF14,5523,R_14,1240790,IF14,871178,IF14,80953,R_14,3740,IF14,3165157,IF14,654016,IF14,01/2014,R_14,12/2014,R_14,20,2015,04
KY,4395295,R_14,4395295,R_14,4395295,R_14,119,R_14,87,R_14,75,R_14,349.42,R_14,1199.75,R_14,978.61,R_14,2178.36,R_14,161990162,R_14,5499282,R_14,631093,R_14,8515586,R_14,176636123,R_14,63983150,R_14,23932804,R_14,87915954,R_14,11155043,R_14,4405180,R_14,4302424,R_14,19862647,R_14,31630358,R_14,139408959,R_14,1833141,R_14,401500,R_14,16647,R_14,2170160,R_14,4421448,R_14,31151779,R_14,9032867,R_14,6915930,R_14,517217,R_14,2017976,R_14,806143,R_14,922536.364179104,IF14,1207,R_14,3624,R_14,4831,R_14,17243,R_14,628550,R_14,19283936,R_14,4466855,R_14,2664920,R_14,30480023,R_14,9674960,R_14,1898523,IF14,55680,R_14,78242,R_14,89404,R_14,58369,R_14,7055,R_14,2006238,R_14,1426392,R_14,113081,R_14,4858,R_14,4550684,R_14,1266660,R_14,07/2013,R_14,06/2014,R_14,21,2015,05
LA,4671955,R_14,4629284,R_14,4629284,R_14,68,R_14,272,R_14,28,R_14,457.54,R_14,1048.21,R_14,1586.36,IF14,2634.57,IF14,226021907,R_14,6325343,R_14,635572,R_14,5902838,R_14,238885660,R_14,87464372,IF14,32394437,IF14,119858809,IF14,13609036,R_14,5284424,R_14,5039913,R_14,23933373,R_14,56202099,R_14,199994281,IF14,11649738,R_14,1000000,R_14,859359,R_14,2809062,R_14,16318159,R_14,46348769,R_14,11895895,R_14,879540,R_14,465752,R_14,295813,R_14,1055908,R_14,44857,R_14,719,R_14,4284,R_14,5003,R_14,23003,R_14,790760,R_14,17242110,R_14,4574434,IF14,2476596,R_14,20838047,R_14,4932712,R_14,1887715,R_14,93055,R_14,104495,R_14,75024,R_14,41820,R_14,10501,R_14,1800229,R_14,1133928,R_14,169931,R_14,5359,R_14,5276086,R_14,1819445,IF14,01/2014,R_14,12/2014,R_14,22,2015,05
MA,6672700,R_14,6587339,R_14,6587339,R_14,370,R_14,94,R_14,4,R_14,1260.69,IF14,1798.56,IF14,1909.86,IF14,3708.42,IF14,251775710,IF14,6938700,IF14,497265,IF14,26355659,IF14,285567334,IF14,181015565,IF14,27920430,IF14,208935995,IF14,22409912,IF14,6232340,IF14,6745156,IF14,35387408,IF14,49071634,IF14,293395037,IF14,22578841,IF14,14315472,IF14,31980,IF14,5465370,IF14,42391663,IF14,45965755,IF14,31284463,IF14,7479050,IF14,1499943,IF14,1828193.82836879,IF14,1900442,IF14,114769,IF14,5009,IF14,22200,R_14,27209,IF14,44545,IF14,916634,IF14,42011647,IF14,4884966,IF14,3395801,IF14,63106520,IF14,20922023,IF14,1490755,IF14,6677783,IF14,6805551,IF14,128677,IF14,74280,IF14,10265,U_14,2565482,IF14,1767577,IF14,122424,U_14,6430,IF14,7279216,IF14,1526660,IF14,07/2013,R_14,06/2014,R_14,25,2015,01
MD,5828289,R_14,5828289,R_14,5828289,R_14,15,R_14,172,R_14,16,R_14,651.08,R_14,1348.86,R_14,1982.3,R_14,3331.16,R_14,223793485,R_14,51318496,R_14,975471,R_14,29378702,R_14,305466154,R_14,138497400,R_14,54510282,R_14,193007682,R_14,19429066,R_14,7406725,R_14,7500928,R_14,34336719,R_14,35707386,IF14,263051787,IF14,28144869,R_14,1415118,R_14,0,R_14,262163,R_14,29822150,R_14,42103479,R_14,12735957,R_14,1906659,R_14,1068364,R_14,1477036,R_14,1106941,R_14,9070,IF14,546,R_14,216,R_14,762,R_14,22846,R_14,485019,R_14,27793912,R_14,8640094,R_14,3491938,R_14,58307979,R_14,22592868,R_14,-1,IA14,266163,R_14,302038,R_14,64001,R_14,42531,R_14,5190,R_14,1784890,R_14,1274009,R_14,132072,R_14,4858,R_14,6494653,R_14,3135070,IF14,07/2013,R_14,06/2014,R_14,24,2015,02
ME,1339278,R_14,1218380,R_14,1330089,R_14,264,R_14,6,R_14,1,R_14,155.77,IF14,339.94,IF14,341.87,IF14,681.81,IF14,32241871,IF14,363900,IF14,48024,IF14,11666538,IF14,44320333,IF14,24183169,IF14,5981915,IF14,30165084,IF14,3181751,IF14,377267,IF14,670177,IF14,4229195,IF14,9458249,IF14,43852528,IF14,2499606,IF14,0,IF14,74363,IF14,7382086,IF14,9956055,IF14,7393396,IF14,6311244,IF14,1250177,IF14,230770,IF14,811873,IF14,362614,IF14,14327,IF14,17442,R_14,1,R_14,17443,R_14,9476,IF14,382344,IF14,6913327,IF14,757957,IF14,759409,IF14,9372346,IF14,3451159,IF14,464261,IF14,488254,IF14,539942,IF14,38412,IF14,21882,IF14,2354,R_14,581480,IF14,352537,IF14,24162,R_14,1961,IF14,1206007,IF14,136935,IF14,04/2013,R_14,12/2014,R_14,23,2015,01
MI,9849089,R_14,9844810,R_14,9898193,R_14,385,R_14,259,R_14,9,R_14,1238.11,IF14,1777.89,IF14,3012.81,IF14,4790.7,IF14,359285768,IF14,11070837,IF14,486509,IF14,25404155,IF14,396247269,IF14,174190243,IF14,62945210,IF14,237135453,IF14,24013147,IF14,6630975,IF14,9540514,IF14,40184636,IF14,93853803,IF14,371173892,IF14,6850972,IF14,49290,IF14,159986,IF14,7118309,IF14,14178557,IF14,24794044,IF14,32565459,IF14,2803502,IF14,1968511,IF14,971790.290178462,IF14,2451954,IF14,46626.1913875598,IF14,1699,IF14,15560,R_14,17259,IF14,50621,IF14,1425210,IF14,50132634,IF14,9284074,IF14,5128464,IF14,83845712,IF14,26693442,IF14,5906653,IF14,2740279,IF14,2931252,IF14,125326,IF14,69603,IF14,11135,U_14,3167988,IF14,2100613,IF14,203240,U_14,11930,IF14,10827079,IF14,5654741,IF14,12/2012,R_14,09/2014,R_14,26,2015,03
MN,5739502,R_14,5417838,R_14,5417838,R_14,129,R_14,227,R_14,8,R_14,519.2,R_14,775.15,R_14,1361.81,R_14,2136.96,R_14,182233620,IF14,8918905,IF14,97563,IF14,19938516,IF14,211188604,IF14,98927386,IF14,32418492,IF14,131345878,IF14,14499431,IF14,5041239,IF14,4471933,IF14,24012603,IF14,51291274,IF14,206649755,IF14,20663779,IF14,29332,IF14,0,IF14,212052,IF14,20905163,IF14,23940529,IF14,14612520,IF14,3471705,R_14,883217,IF14,458876,R_14,985434,IF14,27497,R_14,1015,R_14,6576,R_14,7591,R_14,26248,IF14,727435,IF14,24566264,IF14,3964376,IF14,4080678,IF14,54127960,IF14,20814829,IF14,3936316,IF14,1148394,IF14,1091411,IF14,62120,IF14,37914,IF14,6263,R_14,1396310,IF14,1032396,IF14,76959,R_14,5630,R_14,5441683,IF14,864660,IF14,01/2014,R_14,12/2014,R_14,27,2015,04
MO,5476144,R_14,5476144,R_14,6044917,R_14,139,R_14,223,R_14,27,R_14,270.27,R_14,798.53,R_14,2341.64,R_14,3140.17,R_14,223182602,R_14,4033130,R_14,2212267,R_14,14188411,R_14,243616410,R_14,102489201,R_14,32038518,R_14,134527719,R_14,18058010,R_14,8106515,R_14,6513523,IF14,32678048,IF14,54418076,R_14,221623843,IF14,2423701,R_14,0,R_14,0,R_14,1021273,R_14,3444974,R_14,10317626,R_14,16795429,R_14,273974,R_14,983276,R_14,83014,R_14,1126986,R_14,9530,IF14,1149,R_14,1596,R_14,2745,R_14,33921,R_14,910767,R_14,29533421,R_14,3605038,R_14,3289934,IF14,55722391,R_14,18600038,IF14,2972846,R_14,335277,R_14,372666,R_14,89474,IF14,46818,R_14,7009,R_14,2268611,R_14,1646678,R_14,171055,R_14,4945,R_14,6376873,R_14,1306989,IF14,10/2012,R_14,10/2014,R_14,29,2015,04
MP,53883,R_14,53883,R_14,53883,R_14,1,R_14,1,R_14,0,R_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,-1,U_14,10/2013,R_14,09/2014,R_14,69,2015,09
MS,3001323,R_14,2982557,R_14,2994079,R_14,52,R_14,183,R_14,2,R_14,130.78,R_14,630.29,R_14,310.26,R_14,940.55,R_14,35863756,R_14,8068541,R_14,1490662,R_14,6327061,R_14,51750020,R_14,24366403,R_14,8436587,R_14,32802990,R_14,3227364,R_14,505753,R_14,715380,R_14,4448497,R_14,11524643,R_14,48776130,R_14,24397,R_14,62190,R_14,318682,R_14,54160,R_14,459429,R_14,841053,R_14,5641524,R_14,60677,IF14,203485,R_14,16402,IF14,332341,R_14,296,IF14,170,IF14,2704,R_14,2874,R_14,6397,R_14,444649,R_14,9191161,R_14,1568287,R_14,1637307,R_14,8066272,R_14,2294487,R_14,123805,IF14,13924,R_14,20712,R_14,25659,R_14,14473,IF14,1999,R_14,637635,R_14,424681,IF14,29858,R_14,2769,R_14,2522679,R_14,401928,IF14,10/2013,R_14,09/2014,R_14,28,2015,05
MT,996627,R_14,988533,R_14,988533,R_14,82,R_14,33,R_14,4,R_14,72.11,R_14,190.3,R_14,192.85,R_14,383.15,R_14,24590502,R_14,569829,R_14,11830,R_14,1929253,R_14,27101414,R_14,13075407,R_14,4589376,R_14,17664783,R_14,1833750,R_14,458010,R_14,479054,R_14,2770814,R_14,4799316,R_14,25234913,R_14,7594454,R_14,0,R_14,0,R_14,76845,R_14,7671299,R_14,7609135,R_14,2566095,R_14,953053,R_14,107035,R_14,688152,R_14,184416,R_14,21580,R_14,136,R_14,2788,R_14,2924,R_14,4030,R_14,220094,R_14,4703036,R_14,536952,R_14,481933,R_14,5941658,R_14,2126891,IF14,477955,IF14,220081,IF14,231622,IF14,14329,R_14,9349,R_14,1197,R_14,311284,IF14,208543,IF14,21168,R_14,1282,R_14,1912867,IF14,220258,R_14,07/2013,R_14,06/2014,R_14,30,2015,07
NC,9861952,R_14,9861952,R_14,9861952,R_14,69,R_14,316,R_14,23,R_14,718.88,R_14,771.64,R_14,2135.19,R_14,2906.83,R_14,183175530,R_14,13851494,R_14,1606642,R_14,13967234,R_14,212600900,R_14,104608452,R_14,37639192,R_14,142247644,R_14,15096236,R_14,3781534,R_14,2801557,R_14,21679327,R_14,38479511,R_14,202406482,R_14,8267770,R_14,74275,R_14,363561,R_14,58962,R_14,8764568,R_14,11163529,R_14,16751726,R_14,3335644,R_14,710239,R_14,470675,R_14,814043,R_14,85921,R_14,479,R_14,5280,R_14,5759,R_14,22118,IF14,921072,R_14,35106249,R_14,6726172,IF14,5059879,R_14,52848517,R_14,22152512,R_14,2555373,R_14,177222,IF14,194317,IF14,120019,R_14,81887,R_14,8607,R_14,2605492,R_14,2112685,R_14,129165,R_14,7671,R_14,7806189,R_14,1305266,IF14,07/2013,R_14,06/2014,R_14,37,2015,05
ND,650604,R_14,650604,R_14,739482,R_14,78,R_14,4,R_14,11,R_14,39.88,R_14,134.27,R_14,111.03,R_14,245.3,R_14,15478970,R_14,1547176,R_14,11532,R_14,1263219,R_14,18300897,R_14,8517104,R_14,2373551,R_14,10890655,R_14,1737302,R_14,411533,R_14,326663,R_14,2475498,R_14,3944576,R_14,17310729,R_14,168937,R_14,0,R_14,13950,R_14,8069,R_14,190956,R_14,347748,R_14,2303520,R_14,384491,R_14,90461,R_14,119286,R_14,119605,R_14,12613,R_14,1886,R_14,1975,R_14,3861,R_14,3665,R_14,143815,R_14,2186038,IF14,373837,IF14,281392,IF14,3994628,IF14,1415983,IF14,219027,IF14,59012,R_14,38913,R_14,7940,IF14,5265,IF14,1267,U_14,183507,IF14,145049,IF14,12589,U_14,848,R_14,577405,IF14,132129,IF14,01/2014,R_14,12/2014,R_14,38,2015,04
NE,1541684,R_14,1541684,R_14,1868969,R_14,267,R_14,19,R_14,7,R_14,115.43,IF14,357.64,IF14,435.79,IF14,793.43,IF14,51712793,IF14,556044,IF14,249700,IF14,3264701,IF14,55783238,IF14,26518379,IF14,8441498,IF14,34959877,IF14,4943174,IF14,1486558,IF14,1098111,IF14,7527843,IF14,9854306,IF14,52342026,IF14,1307034,IF14,0,IF14,267000,IF14,1912851,IF14,3486885,IF14,3074996,IF14,5915734,IF14,2697124,IF14,254574,IF14,1239000,IF14,342263,IF14,268,IF14,888,IF14,5073,R_14,5961,IF14,13222,IF14,451258,IF14,8333692,IF14,826080,IF14,1085590,IF14,13162862,IF14,5817452,IF14,783010,IF14,31470,IF14,30219,IF14,32543,IF14,20349,IF14,3018,U_14,726967,IF14,563590,IF14,43840,U_14,2942,IF14,2130767,IF14,967657,IF14,01/2013,R_14,12/2014,R_14,31,2015,04
NH,1445227,R_14,1174260,R_14,1323259,R_14,228,R_14,5,R_14,0,R_14,221.31,IF14,474.96,IF14,334.39,IF14,809.35,IF14,53800224,IF14,58492,IF14,3674,IF14,4245833,IF14,58108223,IF14,32318917,IF14,9852642,IF14,42171559,IF14,4205907,IF14,753284,IF14,1059727,IF14,6018918,IF14,9548236,IF14,57738713,IF14,2292678,IF14,0,IF14,3930,IF14,2351695,IF14,4648303,IF14,3275912,IF14,5860768,IF14,4248095,IF14,282062,IF14,1602898,IF14,439419,IF14,237,IF14,822,IF14,5244,R_14,6066,IF14,11333,IF14,392563,IF14,7509774,IF14,901415,IF14,809993,IF14,10448050,IF14,4102499,IF14,717879,IF14,251521,IF14,258797,IF14,46351,IF14,26420,IF14,2944,U_14,749247,IF14,490198,IF14,32649,U_14,1473,IF14,991583,IF14,176166,IF14,07/2013,R_14,12/2014,R_14,33,2015,01
NJ,9414939,R_14,8708750,R_14,8791894,R_14,296,R_14,143,R_14,12,R_14,1177.28,IF14,1410.33,IF14,3323.64,IF14,4733.97,IF14,449614622,IF14,3786577,IF14,835625,IF14,18793799,IF14,473030623,IF14,231317535,IF14,94681183,IF14,325998718,IF14,26734242,IF14,6113387,IF14,7917806,IF14,40765435,IF14,86341388,IF14,453105541,IF14,9913006,IF14,189548,IF14,540800,IF14,1385852,IF14,12029206,IF14,10372327,IF14,28228099,IF14,3162812,IF14,1721872,IF14,2457318.85185185,IF14,2106354,IF14,280548.805969302,IF14,4318,IF14,8288,R_14,12606,IF14,50033,IF14,1176738,IF14,45848755,IF14,7756313,IF14,4408002,IF14,58683207,IF14,22895245,IF14,2580124,IF14,2365731,IF14,2359827,IF14,178601,IF14,95163,IF14,15732,R_14,3335649,IF14,2000242,IF14,207662,R_14,8023,IF14,9799563,IF14,4210632,IF14,01/2014,R_14,12/2014,R_14,34,2015,02
NM,1670727,R_14,1646422,R_14,2085287,R_14,95,R_14,27,R_14,1,R_14,125.64,IF14,282.04,IF14,377.23,IF14,659.27,IF14,42323009,IF14,2708991,IF14,207372,IF14,2719540,R_14,47958912,IF14,20894260,IF14,8057770,IF14,28952030,IF14,4025980,IF14,1554520,IF14,1124687,IF14,6705187,IF14,9816345,IF14,45473562,IF14,5671834,IF14,2926859,IF14,206057,IF14,379546,IF14,9184296,IF14,7760951,R_14,4309295,IF14,197152,IF14,210179,IF14,89883,IF14,307311,IF14,1177,IF14,460,IF14,4275,R_14,4735,IF14,6300,IF14,257155,IF14,7351791,IF14,1426952,IF14,1029945,IF14,9226822,IF14,2981691,IF14,542564,IF14,16077,IF14,20792,IF14,20050,IF14,11397,IF14,2763,U_14,469943,IF14,335275,IF14,37130,U_14,1639,IF14,2094371,IF14,1916770,IF14,07/2013,R_14,06/2014,R_14,35,2015,06
NV,2795962,R_14,2795962,R_14,2795962,R_14,18,R_14,67,R_14,3,R_14,166.48,R_14,203.06,R_14,633.85,R_14,836.91,R_14,63624617,R_14,21665481,R_14,1060515,R_14,3584631,R_14,89935244,R_14,39426116,R_14,14978257,R_14,54404373,R_14,5423622,R_14,2247627,R_14,2580105,R_14,10251354,R_14,13810612,R_14,78466339,R_14,409050,R_14,0,R_14,0,R_14,632821,R_14,1041871,R_14,890622,R_14,4297937,R_14,215253,R_14,398235,R_14,80046,R_14,585559,R_14,27075,R_14,206,R_14,756,R_14,962,R_14,6521,R_14,162956,R_14,10525170,IF14,1528487,R_14,1323756,R_14,21042400,R_14,6918478,R_14,1182034,IF14,185870,R_14,128629,R_14,25878,R_14,14217,R_14,1172,R_14,814150,R_14,486550,R_14,24376,R_14,1307,R_14,2736610,R_14,1203473,R_14,07/2013,R_14,06/2014,R_14,32,2015,08
NY,19521570,R_14,19378102,R_14,19378102,R_14,755,R_14,310,R_14,7,R_14,3437.24000000001,R_14,4073.88000000001,R_14,8390.97,R_14,12464.85,R_14,1080968139,R_14,63255442,R_14,5792339,R_14,191656418,R_14,1341672338,R_14,605134988,R_14,270976297,R_14,876111285,R_14,63359838,R_14,22665285,R_14,16065413,R_14,102090536,R_14,238606490,R_14,1216808311,R_14,19124796,R_14,10413010,R_14,0,R_14,87067000,R_14,116604806,R_14,126989107,R_14,70815265,R_14,14596150,R_14,3509047,R_14,3453399,R_14,5154677,R_14,745920,IF14,13183,R_14,8316,R_14,21499,R_14,166683,R_14,2392554,R_14,106453546,R_14,28105028,IF14,10925440,R_14,143089084,R_14,44788256,R_14,10768618,IF14,7370942,R_14,7438907,R_14,500005,R_14,213468,R_14,55526,U_14,8951644,R_14,4630849,R_14,725295,U_14,19411,R_14,22261108,R_14,9771506,R_14,03/2013,R_14,12/2014,R_14,36,2015,02
