STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
RI,1431901,R_12,1051302,R_12,1051302,R_12,47,R_12,22,R_12,2,R_12,197.62,R_12,233.27,R_12,342.78,R_12,576.05,R_12,31341067,R_12,8085724,R_12,231830,R_12,6708153,R_12,46366774,R_12,24554277,R_12,8214624,R_12,32768901,R_12,2614377,R_12,470938,R_12,702748,R_12,3788063,R_12,7826615,R_12,44383579,R_12,315016,R_12,861882,R_12,394933,R_12,1226992,R_12,2798823,R_12,2600821,R_12,4428345,R_12,431489,R_12,145630,R_12,293389,R_12,224286,R_12,3147,R_12,1071,R_12,1392,R_12,2463,R_12,5822,R_12,152134,R_12,6092066,R_12,742644,IF12,482127,R_12,7491949,IF12,2442129,IF12,1157638,R_12,1131556,R_12,22890,R_12,12236,R_12,2156,R_12,372135,R_12,191879,R_12,22836,R_12,1426,R_12,1519846,R_12,07/2011,R_12,06/2012,R_12,44,2013,01
SC,4652360,R_12,4652360,R_12,4652360,R_12,40,R_12,151,R_12,31,R_12,457.38,R_12,582.86,R_12,1288.95,R_12,1871.81,R_12,109713705,R_12,5156156,R_12,330222,R_12,4989572,R_12,120189655,R_12,58825892,R_12,20284812,R_12,79110704,R_12,9729601,R_12,1941890,R_12,3568942,R_12,15240433,R_12,20350097,R_12,114701234,R_12,6537018,R_12,0,R_12,2148385,R_12,234914,R_12,8920317,R_12,12406730,R_12,9342884,R_12,181263,R_12,431333,R_12,62527,R_12,643744,R_12,8767,R_12,419,R_12,1512,R_12,1931,R_12,16106,R_12,493233,R_12,18301086,R_12,3480229,IF12,2595764,R_12,25854042,R_12,9548591,R_12,101721,R_12,141688,R_12,40734,R_12,28765,R_12,3659,R_12,1050144,R_12,832874,R_12,73405,R_12,3823,R_12,4832917,R_12,07/2011,R_12,06/2012,R_12,45,2013,05
SD,1190539,R_12,752824,R_12,833354,R_12,112,R_12,34,R_12,4,R_12,47.88,IF12,183.43,IF12,177.72,IF12,361.15,IF12,21907613,IF12,0,R_12,459598,IF12,997711,IF12,23364922,IF12,12153895,IF12,3611184,IF12,15765079,IF12,1853427,IF12,611794,IF12,639025,IF12,3104246,IF12,3619317,IF12,22488642,IF12,1139422,IF12,0,IF12,216223,IF12,359832,IF12,1715477,IF12,5213612,IF12,2987839,IF12,35673,IF12,122176,IF12,8488,IF12,165476,IF12,2100,IF12,1882,IF12,4256,R_12,6138,IF12,4718,IF12,257348,IF12,3998307,IF12,474152,IF12,414648,IF12,6684939,IF12,1901440,IF12,21163,IF12,28108,IF12,10073,IF12,7764,IF12,913,U_12,240161,IF12,209018,IF12,11577,U_12,973,IF12,1425420,IF12,01/2012,R_12,12/2012,R_12,46,2013,04
TN,6231419,R_12,6231419,R_12,6231419,R_12,185,R_12,102,R_12,3,R_12,261.96,R_12,560.92,R_12,1210.95,R_12,1771.87,R_12,99769480,R_12,426096,R_12,269094,R_12,7368083,R_12,107832753,R_12,53840383,IF12,16149278,IF12,69989661,IF12,9308130,R_12,1540978,R_12,1641576,R_12,12490684,R_12,21828574,IF12,104308919,IF12,5229716,IF12,25991,IF12,1641888,IF12,355794,IF12,7253389,IF12,7293754,IF12,11524827,R_12,80117,R_12,570367,IF12,20768,R_12,659940,R_12,753,R_12,514,R_12,12360,R_12,12874,R_12,13327,R_12,617248,R_12,20895473,IF12,3512573,IF12,3353178,R_12,26245287,R_12,8731629,IF12,108359,IF12,113256,IF12,40618,R_12,25150,R_12,4189,R_12,1133575,IF12,865903,R_12,78582,U_12,4896,R_12,5629886,IF12,07/2011,R_12,06/2012,R_12,47,2013,05
TX,23544049,R_12,23449049,R_12,25674681,R_12,557,R_12,308,R_12,9,R_12,1648.73,R_12,2395.35,R_12,4290.72,R_12,6686.07,R_12,430704903,R_12,93857,R_12,2772615,R_12,19248038,R_12,452819413,R_12,227853735,R_12,76117753,R_12,303971488,R_12,37570646,R_12,9934539,R_12,9257263,R_12,56762448,R_12,74972764,R_12,435706700,R_12,95478776,R_12,0,R_12,1365585,R_12,5415997,R_12,102260358,R_12,40159494,R_12,40788513,R_12,1144262,IF12,1967653,R_12,525376,R_12,2463583,R_12,25629,R_12,2352,R_12,25726,R_12,28078,R_12,52743,R_12,1884024,R_12,75186773,IF12,15003671,IF12,12627631,IF12,129657778,IF12,49941710,IF12,666003,IF12,766037,R_12,193609,R_12,109704,R_12,19403,R_12,4853945,IF12,3585902,R_12,314276,R_12,19150,R_12,18342381,IF12,02/2011,R_12,12/2012,R_12,48,2013,06
UT,2814871,R_12,2814871,R_12,2817222,R_12,63,R_12,62,R_12,17,R_12,209.41,IF12,350.55,IF12,882.29,IF12,1232.84,IF12,87350915,IF12,779862,IF12,348159,IF12,4321561,IF12,92800497,IF12,42857305,IF12,17233914,IF12,60091219,IF12,9184755,IF12,1902242,IF12,3762858,IF12,14849855,IF12,16148042,IF12,91089116,IF12,28701646,IF12,51887,IF12,191657,IF12,1287546,IF12,30232736,IF12,30403218,IF12,6963856,IF12,334548,R_12,624906,IF12,608216,R_12,636507,IF12,10164,R_12,207,IF12,3528,R_12,3735,IF12,11367,IF12,308559,IF12,19142011,IF12,3414192,IF12,1780901,IF12,38084065,IF12,15605252,IF12,21684,IF12,25137,R_12,30125,IF12,21286,IF12,2764,R_12,1092464,IF12,848233,IF12,44210,R_12,1974,IF12,3337830,IF12,07/2011,R_12,12/2012,R_12,49,2013,07
VA,7875242,R_12,7865333,R_12,8185867,R_12,81,R_12,275,R_12,24,R_12,857.10,IF12,953.02,R_12,2733.23,R_12,3686.25,R_12,235927530,R_12,14311109,R_12,1755557,R_12,11530650,R_12,263524846,R_12,134213157,R_12,44324463,R_12,178537620,R_12,17347606,R_12,4618977,R_12,4734670,R_12,26701253,R_12,53543357,R_12,258782230,R_12,30848113,R_12,0,R_12,27934,R_12,440000,R_12,31316047,R_12,26250352,R_12,18332414,R_12,1058411,R_12,1034733,R_12,204977,R_12,1118468,R_12,466,R_12,824,R_12,273,R_12,1097,R_12,25188,R_12,877310,R_12,39646073,R_12,7355277,IF12,4685425,R_12,76132262,R_12,25161864,IF12,173114,R_12,176907,R_12,92354,IF12,55261,R_12,6593,R_12,2085360,R_12,1487171,R_12,109756,R_12,5699,R_12,10317813,IF12,07/2011,R_12,06/2012,R_12,51,2013,05
VI,106405,R_12,106405,R_12,106405,R_12,0,R_12,5,R_12,1,R_12,-1.00,U_12,-1.00,U_12,-1.00,U_12,-1.00,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,-1,U_12,10/2011,R_12,09/2012,R_12,78,2013,09
VT,687182,R_12,611040,R_12,621270,R_12,181,R_12,3,R_12,4,R_12,56.68,IF12,203.37,IF12,133.28,IF12,336.65,IF12,17211670,IF12,0,R_12,55462,IF12,3754201,IF12,21021333,IF12,11786638,IF12,3141012,IF12,14927650,IF12,1824206,IF12,222345,IF12,384383,IF12,2430934,IF12,5006076,IF12,22364660,IF12,1503315,IF12,49400,IF12,202900,IF12,1158820,IF12,2914435,IF12,3388014,IF12,3026581,IF12,90263,IF12,133095,IF12,46630,IF12,183407,IF12,3,IF12,211,R_12,2941,R_12,3152,R_12,6355,IF12,260752,IF12,3926690,IF12,528906,IF12,333570,IF12,4698790,IF12,1757344,IF12,34290,IF12,44817,IF12,22990,IF12,15093,IF12,1288,U_12,373463,IF12,275178,IF12,13245,U_12,1082,IF12,869205,IF12,01/2011,R_12,12/2012,R_12,50,2013,01
WA,6697131,R_12,6697131,R_12,6817770,R_12,52,R_12,288,R_12,29,R_12,777.28,IF12,804.64,R_12,2793.76,R_12,3598.40,R_12,366586772,R_12,431092,R_12,813998,R_12,11393955,R_12,379225817,R_12,176297455,R_12,60685531,R_12,236982986,R_12,25262749,IF12,12776681,IF12,7926278,IF12,45965708,R_12,65701232,R_12,348649926,R_12,1403212,R_12,0,R_12,0,R_12,1570003,R_12,2973215,R_12,32294659,R_12,14841947,IF12,734296,IF12,1276231,IF12,315557,IF12,1508455,IF12,8958,IF12,946,R_12,590,R_12,1536,R_12,44551,IF12,742847,R_12,43095638,IF12,5339960,IF12,4155782,R_12,81146191,R_12,28821329,IF12,164026,IF12,187066,IF12,72090,IF12,47206,IF12,6291,U_12,1970967,IF12,1522151,IF12,130881,U_12,6906,R_12,10934956,IF12,01/2012,R_12,12/2012,R_12,53,2013,08
WI,5703525,R_12,5703525,R_12,5703525,R_12,379,R_12,82,R_12,6,R_12,658.91,R_12,1113.64,R_12,1908.15,R_12,3021.79,R_12,205939413,R_12,4455433,R_12,300913,R_12,11419465,R_12,222115224,R_12,110411035,R_12,38563174,R_12,148974209,R_12,16751061,IF12,1775573,IF12,6015773,IF12,24542407,R_12,41030884,R_12,214547500,R_12,29834175,R_12,448880,R_12,1397381,R_12,5628866,R_12,37309302,R_12,24912882,R_12,19264599,R_12,20230446,R_12,1427396,R_12,4328813,R_12,1820617,R_12,120486,R_12,2919,R_12,16426,R_12,19345,R_12,44711,R_12,1073087,R_12,35648456,IF12,4668129,IF12,3538530,IF12,63366031,R_12,23272020,R_12,9357868,R_12,9318023,R_12,87093,IF12,58971,IF12,5879,U_12,2109641,IF12,1656637,IF12,87913,U_12,6164,R_12,7092447,IF12,01/2012,R_12,12/2012,R_12,55,2013,03
WV,1808350,R_12,1808350,R_12,1808350,R_12,97,R_12,78,R_12,7,R_12,96.85,R_12,347.31,R_12,291.09,R_12,638.40,R_12,24899491,R_12,8810876,R_12,114101,R_12,3149491,R_12,36973959,R_12,17063449,R_12,5557859,R_12,22621308,R_12,3384136,R_12,801520,R_12,766560,R_12,4952216,R_12,6414175,R_12,33987699,R_12,406454,R_12,1008742,R_12,376943,R_12,405904,R_12,2198043,R_12,2447985,R_12,5139597,IF12,3365,R_12,206927,IF12,4803,R_12,271240,R_12,91,R_12,249,R_12,1440,R_12,1689,R_12,6398,R_12,384144,R_12,5830894,R_12,668865,R_12,905125,IF12,6504905,IF12,2063530,IF12,114486,IF12,121765,IF12,23953,R_12,16352,R_12,2078,R_12,432303,R_12,324379,R_12,28889,R_12,1405,R_12,1273895,R_12,07/2011,R_12,06/2012,R_12,54,2013,05
WY,568158,R_12,568158,R_12,568158,R_12,23,R_12,53,R_12,2,R_12,54.15,R_12,181.80,R_12,286.23,R_12,468.03,R_12,27901304,R_12,19661,R_12,11395,R_12,1687149,R_12,29619509,R_12,16690841,R_12,6145220,R_12,22836061,R_12,1845150,R_12,189073,R_12,702958,R_12,2737181,R_12,4884136,R_12,30457378,R_12,3840966,R_12,0,R_12,0,R_12,32955,R_12,3873921,R_12,7165403,R_12,2487899,R_12,4125,R_12,157531,R_12,93081,R_12,166916,R_12,0,R_12,83,R_12,1771,R_12,1854,R_12,4812,R_12,136141,R_12,3640021,R_12,533052,R_12,399638,R_12,4983075,R_12,1747661,R_12,39690,R_12,35109,R_12,15116,R_12,10826,R_12,1863,R_12,373094,R_12,292296,R_12,39548,R_12,815,R_12,947667,R_12,07/2011,R_12,06/2012,R_12,56,2013,07
