STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
NH,1442295,R_12,1002752,R_12,1316470,R_12,230,R_12,5,R_12,0,R_12,207.85,IF12,453.81,IF12,344.52,IF12,798.33,IF12,50844000,IF12,42605,IF12,4079,IF12,3841264,IF12,54731948,IF12,30842247,IF12,9265619,IF12,40107866,IF12,4290406,IF12,727999,IF12,1013760,IF12,6032165,IF12,9004312,IF12,55144343,IF12,5101218,IF12,5975,IF12,41969,IF12,1020915,IF12,6170077,IF12,4691991,IF12,5973388,IF12,2064533,IF12,279810,IF12,1190269,IF12,383672,IF12,0,IF12,718,IF12,5254,IF12,5972,IF12,11659,IF12,388528,IF12,7580567,IF12,819161,IF12,811850,IF12,11406956,IF12,4236776,IF12,176337,IF12,171598,IF12,40259,IF12,24813,IF12,2297,U_12,684280,IF12,477985,IF12,25709,U_12,1425,IF12,1145173,IF12,07/2011,R_12,12/2012,R_12,33,2013,01
NJ,9418243,R_12,8708750,R_12,8791894,R_12,297,R_12,145,R_12,11,R_12,1412.24,IF12,1422.64,IF12,3378.22,IF12,4800.86,IF12,453847831,IF12,3702225,IF12,785548,IF12,19374998,IF12,477710602,IF12,231303635,IF12,95030773,IF12,326334408,IF12,28876495,IF12,5607788,IF12,8340007,IF12,42824290,IF12,81689330,IF12,450848028,IF12,25978333,IF12,73468,IF12,0,IF12,1560578,IF12,27612379,IF12,21828688,IF12,29075031,IF12,1728958,IF12,2035626,IF12,-1,IA12,1934172,IF12,-1,IA12,3955,IF12,8560,IF12,12515,IF12,51842,IF12,1182170,IF12,48061530,IF12,8262130,IF12,4746885,IF12,61606942,IF12,24179207,IF12,2543096,IF12,2390219,IF12,164241,IF12,90134,IF12,14967,R_12,3083018,IF12,1872094,IF12,171398,U_12,7867,IF12,10880377,IF12,01/2012,R_12,12/2012,R_12,34,2013,02
NM,1654598,R_12,1654445,R_12,2078674,R_12,92,R_12,26,R_12,2,R_12,113.50,IF12,270.59,IF12,388.00,IF12,658.59,IF12,41416948,IF12,3103202,IF12,474918,IF12,2027388,IF12,47022456,IF12,20663201,IF12,7697298,IF12,28360499,IF12,4766547,IF12,1101428,IF12,1125707,IF12,6993682,IF12,9833165,IF12,45187346,IF12,8547158,IF12,436127,IF12,136590,IF12,224537,IF12,9344412,IF12,2686282,IF12,4344909,IF12,55624,IF12,231007,IF12,55935,IF12,253042,IF12,1162,IF12,334,IF12,4781,IF12,5115,IF12,6597,IF12,251846,IF12,7506392,IF12,1047435,IF12,1042244,IF12,9466902,IF12,3213231,IF12,15128,IF12,19202,IF12,17933,IF12,11076,IF12,2462,U_12,432727,IF12,316900,IF12,30666,U_12,1920,IF12,1920311,IF12,07/2011,R_12,06/2012,R_12,35,2013,06
NV,2721794,R_12,2721794,R_12,2721794,R_12,19,R_12,69,R_12,3,R_12,168.98,R_12,211.56,R_12,457.35,R_12,668.91,R_12,67365632,R_12,19510463,R_12,1131206,R_12,4336543,R_12,92343844,R_12,39905563,R_12,14638561,R_12,54544124,R_12,6098589,R_12,1534995,R_12,2215091,R_12,9848675,R_12,14294076,R_12,78686875,R_12,17800,R_12,0,R_12,0,R_12,102747,R_12,120547,R_12,645956,R_12,4440649,R_12,120084,R_12,418705,R_12,46762,R_12,523931,R_12,1889,R_12,165,R_12,792,R_12,957,R_12,6310,R_12,165128,R_12,11127581,IF12,1788041,R_12,1325468,R_12,20096391,R_12,6382146,R_12,195344,R_12,139848,R_12,24481,IF12,14348,IF12,1120,U_12,778798,IF12,494168,IF12,18056,U_12,1654,R_12,2423110,R_12,07/2011,R_12,06/2012,R_12,32,2013,08
NY,19514845,R_12,19378102,R_12,19378102,R_12,755,R_12,309,R_12,6,R_12,3334.46,R_12,4187.36,R_12,7756.62,R_12,11943.98,R_12,990109800,R_12,46150907,R_12,13130507,R_12,179377322,R_12,1228768536,R_12,575509559,R_12,241895668,R_12,817405227,R_12,72092020,R_12,12871434,R_12,12889693,R_12,97853147,R_12,207420686,R_12,1122679060,R_12,58671347,IF12,10368942,R_12,254512,R_12,23826671,R_12,93121472,IF12,118795990,R_12,70074025,R_12,5040194,R_12,4061780,R_12,1888721,R_12,4636308,R_12,108687,IF12,11765,R_12,6804,R_12,18569,R_12,159838,IF12,2373821,R_12,115247666,R_12,30076039,IF12,9940655,R_12,158242286,R_12,53400101,R_12,7645098,R_12,7739998,R_12,442591,R_12,201654,R_12,52304,U_12,8241302,R_12,4419395,R_12,671190,U_12,17856,R_12,22655310,R_12,03/2011,R_12,12/2012,R_12,36,2013,02
OH,11547241,R_12,11541952,R_12,11541952,R_12,239,R_12,473,R_12,53,R_12,1881.79,IF12,2611.02,R_12,6320.75,R_12,8931.77,R_12,322305666,R_12,343493181,R_12,545172,R_12,181748799,R_12,848092818,R_12,326907431,R_12,103224657,R_12,430132088,R_12,47050103,R_12,14784030,R_12,32918012,R_12,94752145,R_12,134329496,R_12,659213729,R_12,5808,IF12,116018,IF12,305210,IF12,3875872,IF12,4302908,IF12,54745499,IF12,44119981,R_12,17711215,IF12,3705904,R_12,5417009,IF12,4770967,R_12,172469,IF12,2491,IF12,101404,R_12,103895,IF12,122881,R_12,1848518,R_12,87376219,IF12,20378409,IF12,9089977,IF12,189563218,R_12,55351568,IF12,9427696,IF12,9116863,IF12,246828,IF12,151095,IF12,23487,U_12,5492691,R_12,4088321,R_12,382834,R_12,11980,R_12,21227085,IF12,01/2012,R_12,12/2012,R_12,39,2013,03
OK,3083077,R_12,3076121,R_12,3814820,R_12,118,R_12,94,R_12,2,R_12,275.18,R_12,661.02,R_12,729.78,R_12,1390.80,R_12,100680634,R_12,2305609,R_12,391289,R_12,4676151,R_12,108053683,R_12,50710492,R_12,17045843,R_12,67756335,R_12,10895593,R_12,2347252,R_12,3270299,R_12,16513144,R_12,24813569,R_12,109083048,R_12,2117121,R_12,13087,R_12,1076,R_12,5506134,R_12,7637418,R_12,4328293,R_12,7441247,R_12,243907,R_12,443204,R_12,44558,R_12,382963,R_12,935,R_12,469,R_12,4130,R_12,4599,R_12,8703,R_12,493428,R_12,14378840,R_12,2943356,R_12,1964200,R_12,21985301,R_12,7572899,R_12,41496,R_12,42933,R_12,36138,R_12,19685,R_12,3767,R_12,1030216,R_12,739625,R_12,66597,R_12,2994,R_12,3856033,R_12,07/2011,R_12,06/2012,R_12,40,2013,06
OR,3695088,R_12,3695088,R_12,3857625,R_12,124,R_12,96,R_12,7,R_12,397.24,R_12,492.24,R_12,1311.82,R_12,1804.06,R_12,170268315,R_12,1395119,R_12,807473,R_12,11965563,R_12,184436470,R_12,81068566,R_12,41836343,R_12,122904909,R_12,11279222,IF12,2715777,R_12,4474191,R_12,18469190,IF12,42035896,IF12,183409995,IF12,3655377,R_12,1000,R_12,0,R_12,1912003,R_12,5568380,R_12,9227765,R_12,9934053,R_12,2567018,R_12,780441,R_12,1142984,R_12,885877,R_12,140564,R_12,1176,R_12,3096,R_12,4272,R_12,19362,IF12,425853,R_12,23255307,IF12,2705466,IF12,2029303,IF12,63699158,IF12,23189173,IF12,5327523,R_12,5163805,R_12,62733,IF12,44167,IF12,6184,U_12,1411283,IF12,1160547,IF12,75064,U_12,3035,R_12,4672003,IF12,07/2011,R_12,06/2012,R_12,41,2013,08
PA,12411451,R_12,12411451,R_12,12702379,R_12,451,R_12,178,R_12,28,R_12,1127.82,IF12,1487.57,IF12,2988.81,IF12,4476.38,IF12,208878123,IF12,56826603,IF12,2164615,IF12,59408004,IF12,327277345,IF12,155436884,IF12,53489752,IF12,208926636,IF12,22198966,IF12,5914769,IF12,5942250,IF12,34055985,IF12,62951531,IF12,305934152,IF12,8259969,IF12,2582161,IF12,642364,IF12,3868673,IF12,15353167,IF12,32270937,IF12,26694311,IF12,2786212,IF12,2083120,IF12,720572,IF12,1689642,IF12,99325,IF12,3846,IF12,8060,IF12,11906,IF12,49463,IF12,1452134,IF12,46879095,IF12,7775636,IF12,5337951,IF12,69133176,IF12,25129425,IF12,4337381,IF12,4436204,IF12,188845,IF12,120472,IF12,14428,R_12,3974630,IF12,2884792,IF12,189940,R_12,7885,IF12,8418806,IF12,07/2011,R_12,12/2012,R_12,42,2013,02
PR,4034646,R_12,2904816,R_12,3725789,R_12,58,R_12,65,R_12,1,R_12,12.00,U_12,124.00,U_12,295.00,U_12,419.00,U_12,4615219,U_12,53340,U_12,39350,U_12,498875,U_12,4691478,U_12,3474292,U_12,814880,U_12,4203672,U_12,75182,U_12,62711,U_12,13176,U_12,142963,U_12,730926,U_12,4212570,U_12,1146577,U_12,62170,U_12,506557,U_12,30843,U_12,1485162,U_12,1334673,U_12,282801,U_12,30561,U_12,3797,U_12,4,U_12,3234,U_12,2,U_12,292,U_12,2,U_12,294,U_12,64,U_12,162650,U_12,592608,U_12,156363,U_12,84152,U_12,67874,U_12,27034,U_12,102,U_12,38,U_12,1109,U_12,464,U_12,319,U_12,41628,U_12,16155,U_12,10653,U_12,1078,U_12,229627,U_12,01/2012,R_12,12/2012,R_12,72,2013,09
